"ID","tenure","expense","degree","tightness","entropy","chgexpense","chgdegree","churn"
1,2146.31213568568,150.862872575222,29.4310654749451,10.9687391339431,2.379845033,-0.657176667,-0.693877551,0
2,3577.91947100011,103.421486206121,62.247518794982,9.3951813977244,2.37055426,0.002587837,0.016666667,0
3,3563.87317540089,58.6447231028614,57.4381186528675,6.5622764886191,2.109359277,0.08616188,0.098039216,0
4,3564.38079972043,173.289672462311,115.708011269926,6.53700627780527,3.648057492,0.79059652,0.392857143,0
5,2227.9893889142,91.4113378766428,76.1062531055853,6.51820462821705,2.528043439,0.22907489,-0.0375,0
6,2125.5702458114,213.491802282479,80.3960553004001,8.09624439187053,3.488768754,-0.006577455,-0.122222222,0
7,2113.76318100923,95.9364931140623,141.263066198243,3.1475893007216,4.346135854,0.030777538,0.130081301,0
8,2119.97251639402,218.631757490057,114.456739794469,9.05804289225015,3.408230662,0.088359394,0.065420561,0
9,3586.01808239195,137.409663452858,44.2047457357842,11.7439064659524,2.905636138,-0.021130088,0.333333333,0
10,3067.20855793569,27.3160141077609,87.6998240945014,4.37123194024155,3.660509348,0.045397751,-0.065934066,0
11,3067.76453557702,118.112998605533,40.9839514801684,7.59069301461334,2.977656844,0.025641026,-0.204081633,0
12,2178.7207999511,131.486512504469,12.39430997502,0.570685098181493,2.138351158,0,-0.133333333,0
13,2136.05490965242,479.414215566785,76.06498411647,7.43492977642652,3.498576984,0.110646941,0.121212121,0
14,3574.38858591935,79.3398764365161,21.5837037916448,7.90210903696313,2.500110624,0.072270228,0.136363636,0
15,2117.26116190475,113.853194805437,106.915206796653,5.28483808957612,3.700862489,-0.163007319,-0.084033613,1
16,3067.91728236742,364.425242037186,145.352216933097,1.49558529960834,4.425078702,0.222972973,-0.206521739,0
17,2212.68911106286,77.7237370203572,3.13703235484808,1.7660709558103,0,-0.850718133,-0.866666667,1
18,3566.57611088592,151.470903897564,178.905551465627,7.98377864048017,4.139640446,0.107078563,0.104938272,0
19,2114.98400818376,211.002671378566,104.775333150045,6.26120956031132,2.692927252,0.119214734,0.316455696,0
